PHILIPPINES/ REGION/ PROVINCE,"Estimate
('000)","Standard Error
('000)","Coefficient of Variation
(%)","Estimate
('000).1","Standard Error
('000).1","Coefficient of Variation
(%).1","Estimate
('000).2","Standard Error
('000).2","Coefficient of Variation
(%).2"
     Camarines Sur,820.834,72.218,8.8,58.72,1.22,2.08,60.68,0.96,1.58
          Paranaque,355.54,26.639,7.49,58.69,1.01,1.72,61.92,0.68,1.1
          Pasay,201.37,15.806,7.85,58.57,1.1,1.88,61.79,0.75,1.21
          Las Pinas,272.633,23.812,8.73,58.44,0.93,1.59,59.75,0.75,1.26
          Malabon City,161.57,12.502,7.74,58.43,0.91,1.56,60.0,0.67,1.12
     Zambales,295.596,26.814,9.07,58.42,0.98,1.68,62.5,0.78,1.25
          Marikina,214.042,18.986,8.87,58.3,0.95,1.63,61.08,0.84,1.38
     Romblon,120.046,9.558,7.96,58.14,1.07,1.84,60.31,0.76,1.26
     Pampanga,1055.616,104.373,9.89,57.92,0.86,1.48,60.37,1.01,1.67
          Baguio City,141.886,10.363,7.3,57.72,0.83,1.44,56.85,0.93,1.64
     Camarines Norte,237.974,20.091,8.44,56.74,1.11,1.96,56.56,0.98,1.73
          Pateros,27.464,2.999,10.92,55.85,1.44,2.58,57.22,1.0,1.75
     Bataan,356.008,28.868,8.11,54.67,0.92,1.68,58.75,0.79,1.34
          Pateros,48.453,8.131,16.78,47.99423875833332,5.233902357342077,10.91,27.062,4.541,16.78
     Batanes,11.851,2.339,19.74,12.04276575833329,1.5718207419433667,13.05,8.85,1.679,18.97
